station_id,grid_id,label,location,latitude,longitude,current_rating,timestamp_utc,epa_no2
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-02 23:00:00,11.45
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 00:00:00,19.83
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 01:00:00,19.56
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 02:00:00,40.33
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 03:00:00,19.18
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 04:00:00,36.32
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 05:00:00,25.41
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 06:00:00,32.85
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 07:00:00,30.47
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 08:00:00,15.58
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 09:00:00,21.54
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 10:00:00,18.59
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 11:00:00,14.95
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 12:00:00,13.83
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 13:00:00,5.49
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 14:00:00,4.82
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 15:00:00,5.22
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 16:00:00,4.94
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 17:00:00,5.83
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 18:00:00,2.8
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 19:00:00,3.99
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 20:00:00,5.3
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 21:00:00,5.83
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 22:00:00,7.46
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-03 23:00:00,11.58
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 00:00:00,33.64
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 01:00:00,24.14
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 02:00:00,52.1
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 03:00:00,48.34
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 04:00:00,38.93
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 05:00:00,28.17
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 06:00:00,7.98
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 07:00:00,31.67
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 08:00:00,36.86
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 09:00:00,28.37
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 10:00:00,13.39
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 11:00:00,6.68
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 12:00:00,7.7
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 13:00:00,3.72
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 14:00:00,7.4
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 15:00:00,2.34
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 16:00:00,5.4
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 17:00:00,0.98
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 18:00:00,1.33
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 19:00:00,2.64
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 20:00:00,3.4
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 21:00:00,3.36
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 22:00:00,7.88
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-04 23:00:00,7.91
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-05 00:00:00,12.72
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-05 01:00:00,25.5
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-05 02:00:00,37.16
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-05 03:00:00,39.16
EPA-11,76_51,Station 11,"Winetavern Street, Dublin 8",53.344201,-6.271563,2.0,2023-06-05 04:00:00,31.51
