grid_id,latitude,longitude
6_116,53.405294,-6.373304
6_117,53.406192,-6.373249
6_118,53.40709,-6.373193
6_119,53.407988,-6.373138
6_120,53.408886,-6.373083
6_121,53.409784,-6.373027
6_122,53.410682,-6.372972
6_123,53.41158,-6.372917
6_124,53.412477,-6.372861
6_125,53.413375,-6.372806
6_126,53.414273,-6.372751
7_0,53.301099,-6.378205
7_1,53.301997,-6.37815
7_2,53.302895,-6.378095
7_3,53.303793,-6.37804
7_4,53.304691,-6.377985
7_5,53.305589,-6.37793
7_6,53.306487,-6.377875
7_7,53.307385,-6.37782
7_8,53.308283,-6.377765
7_9,53.309181,-6.37771
7_10,53.310079,-6.377655
7_11,53.310977,-6.3776
7_12,53.311875,-6.377545
7_13,53.312773,-6.37749
7_14,53.313671,-6.377435
7_15,53.314569,-6.37738
7_16,53.315466,-6.377325
7_17,53.316364,-6.377269
7_18,53.317262,-6.377214
7_19,53.31816,-6.377159
7_20,53.319058,-6.377104
7_21,53.319956,-6.377049
7_22,53.320854,-6.376994
7_23,53.321752,-6.376939
7_24,53.32265,-6.376884
7_25,53.323548,-6.376829
7_26,53.324446,-6.376774
7_27,53.325344,-6.376718
7_28,53.326242,-6.376663
7_29,53.32714,-6.376608
7_30,53.328038,-6.376553
7_31,53.328936,-6.376498
7_32,53.329834,-6.376443
7_33,53.330732,-6.376388
7_34,53.33163,-6.376333
7_35,53.332528,-6.376277
